EXAR,1985,Technology,Semiconductors
KBH,1986,Capital Goods,Homebuilding
WTS,1986,Capital Goods,Metal Fabrications
BPL,1986,Energy,Natural Gas Distribution
MKL,1986,Finance,Property-Casualty Insurers
ORCL,1986,Technology,Computer Software: Prepackaged Software
CCL,1987,Consumer Services,Marine Transportation
FUN,1987,Consumer Services,Services-Misc. Amusement & Recreation
TIF,1987,Consumer Services,Consumer Specialties
MBI,1987,Finance,Property-Casualty Insurers
CBM,1987,Health Care,Major Pharmaceuticals
MNI,1988,Consumer Services,Newspapers/Magazines
BID,1988,Miscellaneous,Business Services
TEF,1988,Public Utilities,Telecommunications Equipment
USM,1988,Public Utilities,Telecommunications Equipment
POT,1989,Basic Industries,Agricultural Chemicals
IEX,1989,Capital Goods,Fluid Controls
COG,1990,Energy,Oil & Gas Production
LUX,1990,Health Care,Ophthalmic Goods
WNC,1991,Capital Goods,Construction/Ag Equipment/Trucks
FCFS,1991,Consumer Services,Other Specialty Stores
RGS,1991,Consumer Services,Other Consumer Services
HMN,1991,Finance,Property-Casualty Insurers
MTG,1991,Finance,Property-Casualty Insurers
HAE,1991,Health Care,Medical/Dental Instruments
MTX,1992,Basic Industries,Major Chemicals
SMG,1992,Basic Industries,Agricultural Chemicals
ROP,1992,Capital Goods,Industrial Machinery/Components
ELY,1992,Consumer Non-Durables,Recreational Products/Toys
KSS,1992,Consumer Services,Department/Specialty Retail Stores
OHI,1992,Consumer Services,Real Estate Investment Trusts
TCO,1992,Consumer Services,Real Estate Investment Trusts
CRT,1992,Energy,Oil & Gas Production
BLX,1992,Finance,Commercial Banks
USPH,1992,Health Care,Medical/Nursing Services
ASGN,1992,Technology,Professional Services
SQM,1993,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
MHO,1993,Capital Goods,Homebuilding
ETH,1993,Consumer Durables,Home Furnishings
NTZ,1993,Consumer Durables,Home Furnishings
KOF,1993,Consumer Non-Durables,Beverages (Production/Distribution)
DECK,1993,Consumer Non-Durables,Shoe Manufacturing
BYD,1993,Consumer Services,Hotels/Resorts
CPT,1993,Consumer Services,Real Estate Investment Trusts
CBL,1993,Consumer Services,Real Estate Investment Trusts
DDR,1993,Consumer Services,Real Estate Investment Trusts
IT,1993,Consumer Services,Other Consumer Services
TV,1993,Consumer Services,Broadcasting
HR,1993,Consumer Services,Real Estate Investment Trusts
REG,1993,Consumer Services,Real Estate Investment Trusts
RCL,1993,Consumer Services,Marine Transportation
BFS,1993,Consumer Services,Real Estate Investment Trusts
SUI,1993,Consumer Services,Real Estate Investment Trusts
SKT,1993,Consumer Services,Real Estate Investment Trusts
CWEI,1993,Energy,Oil & Gas Production
NFX,1993,Energy,Oil & Gas Production
SGY,1993,Energy,Oil & Gas Production
YPF,1993,Energy,Integrated oil Companies
HHS,1993,Technology,Advertising
JBL,1993,Technology,Electrical Products
MLM,1994,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
PKX,1994,Basic Industries,Steel/Iron Ore
RS,1994,Basic Industries,Metal Fabrications
BZH,1994,Capital Goods,Homebuilding
GBX,1994,Capital Goods,Railroads
VCO,1994,Consumer Non-Durables,Beverages (Production/Distribution)
AIV,1994,Consumer Services,Real Estate Investment Trusts
ESS,1994,Consumer Services,Real Estate Investment Trusts
FGP,1994,Consumer Services,Other Specialty Stores
FR,1994,Consumer Services,Real Estate Investment Trusts
HIW,1994,Consumer Services,Real Estate Investment Trusts
MAC,1994,Consumer Services,Real Estate Investment Trusts
MAA,1994,Consumer Services,Real Estate Investment Trusts
CYD,1994,Energy,Industrial Machinery/Components
COF,1994,Finance,Major Banks
HNP,1994,Public Utilities,Electric Utilities: Central
KEP,1994,Public Utilities,Electric Utilities: Central
PLT,1994,Public Utilities,Telecommunications Equipment
NOK,1994,Technology,Radio And Television Broadcasting And Communications Equipment
MSM,1995,Capital Goods,Industrial Machinery/Components
WAT,1995,Capital Goods,Biotechnology: Laboratory Analytical Instruments
EL,1995,Consumer Non-Durables,Package Goods/Cosmetics
RWT,1995,Consumer Services,Real Estate Investment Trusts
TRK,1995,Consumer Services,Services-Misc. Amusement & Recreation
CLB,1995,Energy,Oilfield Services/Equipment
DO,1995,Energy,Oil & Gas Production
DST,1995,Technology,EDP Services
BVN,1996,Basic Industries,Precious Metals
CCJ,1996,Basic Industries,Precious Metals
TGI,1996,Capital Goods,Aerospace
GES,1996,Consumer Non-Durables,Apparel
REV,1996,Consumer Non-Durables,Package Goods/Cosmetics
DVD,1996,Consumer Services,Services-Misc. Amusement & Recreation
SPH,1996,Consumer Services,Other Specialty Stores
GEL,1996,Energy,Oil Refining/Marketing
WG,1996,Energy,Oilfield Services/Equipment
FFG,1996,Finance,Life Insurance
NUS,1996,Health Care,Other Pharmaceuticals
FDS,1996,Technology,"Computer Software: Programming, Data Processing"
IM,1996,Technology,Retail: Computer Software & Peripheral Equipment
CBI,1997,Basic Industries,Engineering & Construction
FBR,1997,Basic Industries,Paper
BGC,1997,Basic Industries,Telecommunications Equipment
FIX,1997,Capital Goods,Engineering & Construction
MTD,1997,Capital Goods,Biotechnology: Laboratory Analytical Instruments
SRI,1997,Capital Goods,Auto Parts:O.E.M.
GPI,1997,Consumer Durables,Automotive Aftermarket
SAH,1997,Consumer Durables,Automotive Aftermarket
FDP,1997,Consumer Non-Durables,Farming/Seeds/Milling
IBA,1997,Consumer Non-Durables,Meat/Poultry/Fish
RL,1997,Consumer Non-Durables,Apparel
BXP,1997,Consumer Services,Real Estate Investment Trusts
CBD,1997,Consumer Services,Food Chains
EPR,1997,Consumer Services,Real Estate Investment Trusts
KRC,1997,Consumer Services,Real Estate Investment Trusts
SLG,1997,Consumer Services,Real Estate Investment Trusts
MTN,1997,Consumer Services,Services-Misc. Amusement & Recreation
DRQ,1997,Energy,Metal Fabrications
ING,1997,Finance,Commercial Banks
CSU,1997,Health Care,Hospital/Nursing Management
MMS,1997,Miscellaneous,Business Services
CIEN,1997,Public Utilities,Telecommunications Equipment
NTL,1997,Public Utilities,Telecommunications Equipment
SRT,1997,Technology,Professional Services
TSM,1997,Technology,Semiconductors
URI,1997,Technology,Diversified Commercial Services
CEA,1997,Transportation,Air Freight/Delivery Services
ZNH,1997,Transportation,Air Freight/Delivery Services
SCS,1998,Consumer Durables,Office Equipment/Supplies/Services
GIL,1998,Consumer Non-Durables,Apparel
OME,1998,Consumer Non-Durables,Packaged Foods
LHO,1998,Consumer Services,Real Estate Investment Trusts
HZO,1998,Consumer Services,Other Specialty Stores
RAS,1998,Consumer Services,Real Estate Investment Trusts
PAA,1998,Energy,Natural Gas Distribution
YZC,1998,Energy,Coal Mining
FII,1998,Finance,Investment Managers
WDR,1998,Finance,Investment Bankers/Brokers/Service
RSG,1998,Public Utilities,Environmental Services
CLS,1998,Technology,Electrical Products
CVG,1998,Technology,EDP Services
A,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments
LII,1999,Capital Goods,Industrial Machinery/Components
RTEC,1999,Capital Goods,Industrial Machinery/Components
SKX,1999,Consumer Non-Durables,Shoe Manufacturing
WCC,1999,Consumer Non-Durables,Telecommunications Equipment
ETM,1999,Consumer Services,Broadcasting
HT,1999,Consumer Services,Real Estate Investment Trusts
CNX,1999,Energy,Coal Mining
HGT,1999,Energy,Oil & Gas Production
BLK,1999,Finance,Investment Bankers/Brokers/Service
GBL,1999,Finance,Investment Bankers/Brokers/Service
GS,1999,Finance,Investment Bankers/Brokers/Service
JNPR,1999,Technology,Computer Communications Equipment
KFY,1999,Technology,Diversified Commercial Services
UPS,1999,Transportation,Trucking Freight/Courier Services
ERJ,2000,Capital Goods,Aerospace
